name,five_ft_split,ten_ft_split,fifteen_ft_split,twenty_ft_split,twenty_five_ft_split,thirty_ft_split,thirty_five_ft_split,forty_ft_split,forty_five_ft_split,fifty_ft_split,fifty_five_ft_split,sixty_ft_split,sixty_five_ft_split,seventy_ft_split,seventy_five_ft_split,eighty_ft_split,eighty_five_ft_split,ninety_ft_split,ID,weight,height,bats,throws
"Bradley, Bobby",0.55,0.86,1.12,1.36,1.58,1.79,1.99,2.18,2.38,2.56,2.75,2.93,3.11,3.29,3.47,3.65,3.83,4.02,1911,225,73,L,R
"Brantley, Michael",0.52375,0.81875,1.0775,1.32,1.54625,1.75875,1.96375,2.16125,2.355,2.545,2.7325,2.91875,3.105,3.29125,3.47625,3.67,3.87,4.0875,1973,209,74,L,L
"Braun, Ryan",0.545,0.8466666667,1.108333333,1.355,1.578333333,1.795,2.001666667,2.196666667,2.388333333,2.578333333,2.763333333,2.948333333,3.131666667,3.311666667,3.493333333,3.671666667,3.856666667,4.046666667,1984,220,73,R,R
"Braun, Ryan",0.545,0.8466666667,1.108333333,1.355,1.578333333,1.795,2.001666667,2.196666667,2.388333333,2.578333333,2.763333333,2.948333333,3.131666667,3.311666667,3.493333333,3.671666667,3.856666667,4.046666667,1985,205,74,R,R
"Bregman, Alex",0.55,0.85625,1.12,1.36625,1.59,1.80375,2.0075,2.2025,2.39375,2.58,2.765,2.9475,3.1275,3.305,3.485,3.665,3.84625,4.035,2008,192,72,R,R
"Brennan, Will",0.535,0.835,1.095,1.325,1.545,1.75,1.95,2.14,2.33,2.51,2.69,2.87,3.045,3.22,3.395,3.57,3.75,3.945,2023,200,72,L,L
"Brentz, Bryce",0.56,0.87,1.14,1.39,1.62,1.83,2.04,2.24,2.43,2.61,2.79,2.97,3.15,3.33,3.5,3.68,3.85,4.03,2024,215,72,R,R
"Bride, Jonah",0.56,0.89,1.16,1.405,1.635,1.855,2.065,2.265,2.465,2.655,2.845,3.03,3.215,3.4,3.58,3.76,3.945,4.14,2057,200,70,R,R
"Brinson, Lewis",0.558,0.866,1.126,1.362,1.582,1.792,1.986,2.178,2.362,2.542,2.718,2.894,3.064,3.236,3.404,3.57,3.744,3.914,2084,212,77,R,R
"Brosseau, Mike",0.552,0.862,1.126,1.362,1.584,1.798,1.998,2.194,2.388,2.578,2.758,2.942,3.118,3.296,3.472,3.644,3.824,4.014,2142,205,70,R,R
"Brown, Domonic",0.53,0.8,1.05,1.28,1.51,1.73,1.93,2.13,2.32,2.5,2.68,2.86,3.04,3.21,3.39,3.57,3.75,3.95,2184,225,77,L,L
"Brown, Seth",0.5375,0.8325,1.0925,1.325,1.5475,1.755,1.955,2.1475,2.335,2.5175,2.7,2.8775,3.055,3.2275,3.4,3.58,3.7625,3.9525,2247,223,73,L,L
"Brown, Trevor",0.545,0.84,1.1,1.345,1.575,1.79,1.995,2.195,2.385,2.575,2.755,2.94,3.12,3.3,3.475,3.65,3.83,4.01,2255,193,74,R,R
"Broxton, Keon",0.545,0.8275,1.08,1.31,1.53,1.735,1.9325,2.115,2.295,2.475,2.65,2.82,2.9875,3.1525,3.3175,3.48,3.6425,3.8125,2261,200,75,R,R
"Bruce, Jay",0.5433333333,0.8416666667,1.106666667,1.353333333,1.583333333,1.8,2.008333333,2.21,2.403333333,2.596666667,2.788333333,2.975,3.161666667,3.345,3.533333333,3.723333333,3.913333333,4.106666667,2266,230,75,L,L
"Brugman, Jaycob",0.54,0.82,1.08,1.32,1.55,1.77,1.98,2.17,2.36,2.55,2.74,2.92,3.1,3.28,3.45,3.63,3.82,4.01,2274,190,72,L,L
